#Position (bp)	insert size
1.4134137375E9	313.21147030394155
1.4169317575E9	312.5796012233576
1.4190319265E9	310.25776739070665
1.4218144135E9	312.4458879480339
1.4260147515E9	311.5806905063942
1.4302150895E9	312.9142482732261
1.4344154275E9	311.7685203814736
1.4386157655E9	312.5656673675053
1.4428161035E9	312.36823173948494
1.4470164415E9	312.0739645517216
1.4512167795E9	312.13376386662895
1.453910522E9	313.25256426491075
1.456010691E9	311.10971526860584
1.4596174555E9	312.9931058542096
1.4638177935E9	312.6895933838732
1.4680181315E9	312.52193883327135
1.4722184695E9	312.86365971290775
1.4764188075E9	311.93145485321526
1.480345452E9	311.87283493380056
1.482445621E9	312.9501364877161
1.4848194835E9	312.7192697429026
1.4890198215E9	312.3354668581474
1.4932201595E9	313.0463559145137
1.4974204975E9	313.6186867173926
1.5016208355E9	312.3413327415673
1.5051343345E9	311.1497127082464
1.5072345035E9	312.10362243120863
1.5100215115E9	311.6925172694898
1.5142218495E9	312.6894005138939
1.5184221875E9	312.9409396632137
1.5226225255E9	313.05880723355136
1.5268228635E9	312.99740128599217
1.5299685005E9	312.14897959183673
1.5319649745E9	311.7212686999884
1.5329475745E9	310.0
1.532991166E9	306.08490566037733
1.533063267E9	310.37081081081084
1.5332701695E9	311.8674572724102
1.5334175815E9	0.0
1.533772269E9	313.0112934533263
1.534147851E9	230.85714285714286
1.5342125205E9	313.7725490196078
1.5342567805E9	0.0
1.5342589155E9	306.75
1.534261086E9	0.0
1.5342632255E9	250.0
1.5342659025E9	0.0
1.5342684385E9	273.0625
1.534270413E9	308.32323232323233
1.5342725255E9	0.0
1.534274595E9	0.0
1.534276519E9	0.0
1.5342782455E9	337.3157894736842
1.534281289E9	286.0
1.5342844085E9	0.0
1.534289687E9	305.5389221556886
1.5342975395E9	315.87719298245617
1.534326392E9	309.3065424010335
1.534363874E9	311.55172413793105
1.5343894365E9	307.4047619047619
1.534417065E9	313.16696460493387
1.534436416E9	308.3645320197044
1.5346041395E9	311.0509031198686
1.534905752E9	314.726546616323
1.5350721975E9	302.604557322573
1.5351082705E9	302.04285714285714
1.5351183655E9	301.14285714285717
1.5351231315E9	329.35714285714283
1.535135803E9	266.97861842105266
1.5351644E9	304.90845070422534
1.535191478E9	337.1111111111111
1.5351996305E9	0.0
1.5352030535E9	313.9591836734694
1.535211418E9	0.0
1.535310377E9	304.81286201304073
